cycle,pc,type,paddr,coreid,inst
0,fffffffd622038bc,Fetch Request,3e26e38bc,0,3532602762800
0,000000000,Eviction (clean),3c2207880,4,3532602762751
0,ffffffff78920c80,Fetch Request,3c0920c80,0,3532602762800
0,000000000,Eviction (clean),3f12f4c80,4,3532602762794
0,ffffffff78d3ff7c,Read Request,37af3e1c8,0,3532602762800
0,000000000,Eviction (dirty),3a12621c0,5,3532602762765
0,00131ec70,Fetch Request,007f1ec70,0,3532602762800
0,000000000,Eviction (clean),007d76c40,11,3532602762702
0,0012d4c00,Fetch Request,007ed4c00,0,3532602762800
0,000000000,Eviction (clean),3c0958c00,11,3532602762718
0,0012cf368,Read Request,00816e888,0,3532602762800
0,000000000,Eviction (writable),3c20be880,11,3532602762777
0,0012cf384,Read Request,00816ecf8,0,3532602762800
0,000000000,Eviction (writable),04687ecc0,11,3532602762784
0,0012cf39c,Read Request,00816ef28,0,3532602762800
0,000000000,Eviction (writable),007592f00,11,3532602762790
0,0012cf3c0,Read Request,00816e900,0,3532602762800
0,000000000,Eviction (writable),0075d6900,11,3532602762799
0,ffffffff78a71e40,Read Request,37d4c94c8,0,3532602762800
0,000000000,Eviction (dirty),39e3894c0,12,3532602762729
0,0012f2674,Read Request,113bac700,0,3532602762800
0,000000000,Eviction (clean),00758c700,13,3532602762706
0,00114b1ec,Fetch Request,007d4b1ec,0,3532602762800
0,000000000,Eviction (clean),3614331c0,15,3532602762700
0,00114b1f4,Write Request,081b5b878,0,3532602762800
0,000000000,Eviction (dirty),36f4a7840,15,3532602762702
0,00114b20c,Fetch Request,007d4b20c,0,3532602762800
0,000000000,Eviction (clean),361433200,15,3532602762703
0,001298990,Fetch Request,007e98990,0,3532602762800
0,000000000,Eviction (clean),3c0a1c980,15,3532602762706
0,0012989c8,Fetch Request,007e989c8,0,3532602762800
0,000000000,Eviction (clean),3c0a1c9c0,15,3532602762712
0,00114b118,Fetch Request,007d4b118,0,3532602762800
0,000000000,Eviction (clean),361433100,15,3532602762719
0,001001500,Fetch Request,007c01500,0,3532602762800
0,000000000,Eviction (clean),3c0b75500,15,3532602762720
0,00100152c,Write Request,3f9fb6dc0,0,3532602762800
0,000000000,Eviction (clean),0075d6dc0,15,3532602762731
0,001001540,Fetch Request,007c01540,0,3532602762800
0,000000000,Eviction (clean),3c0919540,15,3532602762736
0,00114b120,Read Request,008035fec,0,3532602762800
0,000000000,Eviction (dirty),0c8721fc0,15,3532602762747
0,00114b0c0,Fetch Request,007d4b0c0,0,3532602762800
0,000000000,Eviction (clean),3614330c0,15,3532602762759
0,001022500,Fetch Request,007c22500,0,3532602762800
0,000000000,Eviction (clean),3c0b72500,15,3532602762778
0,00114b240,Fetch Request,007d4b240,0,3532602762800
0,000000000,Eviction (clean),361433240,15,3532602762782
0,001063b00,Fetch Request,007c63b00,0,3532602762800
0,000000000,Eviction (clean),3e7f53b00,15,3532602762790
0,00104af20,Fetch Request,007c4af20,0,3532602762800
0,000000000,Eviction (clean),3c0baaf00,15,3532602762794
0,ffffffff78a71f10,Read Request,383edee50,0,3532602762815
0,000000000,Eviction (writable),383ecae40,0,3532602762815
0,ffffffff78920ccc,Fetch Request,3c0920ccc,0,3532602762900
0,000000000,Eviction (clean),007ed4cc0,4,3532602762805
0,ffffffff78920d18,Fetch Request,3c0920d18,0,3532602762900
0,000000000,Eviction (clean),007ed4d00,4,3532602762811
0,ffffffff78920d18,Write Request,3e27469a8,0,3532602762900
0,000000000,Eviction (dirty),035bda980,4,3532602762811
0,ffffffff78920d5c,Fetch Request,3c0920d5c,0,3532602762900
0,000000000,Eviction (clean),007d3cd40,4,3532602762819
0,ffffffff78a3d580,Fetch Request,3c0a3d580,0,3532602762900
0,000000000,Eviction (clean),007f3d580,4,3532602762851
0,ffffffff78a3d5c0,Fetch Request,3c0a3d5c0,0,3532602762900
0,000000000,Eviction (clean),007f3d5c0,4,3532602762867
0,ffffffff78a3d978,Fetch Request,3c0a3d978,0,3532602762900
0,000000000,Eviction (clean),007ec9940,4,3532602762876
0,ffffffff78a3d980,Fetch Request,3c0a3d980,0,3532602762900
0,000000000,Eviction (clean),007ec9980,4,3532602762878
0,ffffffff78a3d9d0,Fetch Request,3c0a3d9d0,0,3532602762900
0,000000000,Eviction (clean),3c0a319c0,4,3532602762888
0,ffffffff78a3d600,Fetch Request,3c0a3d600,0,3532602762900
0,000000000,Eviction (clean),007f3d600,4,3532602762890
0,ffffffff78a3da90,Fetch Request,3c0a3da90,0,3532602762900
0,000000000,Eviction (clean),3c1949a80,4,3532602762897
0,001008cfc,Read Request,007547070,0,3532602762900
0,000000000,Eviction (dirty),3bd233040,5,3532602762878
0,ffffffff78a71efc,Read Request,383ec8e74,0,3532602762900
0,000000000,Eviction (dirty),3c6cece40,5,3532602762885
0,ffffffff78a71f10,Read Request,383ee2780,0,3532602762900
0,000000000,Eviction (writable),3558ea780,5,3532602762890
0,00104afe4,Write Request,008161838,0,3532602762900
0,000000000,Eviction (clean),37a5c9800,11,3532602762815
0,001008aac,Read Request,00902cbd0,0,3532602762900
0,000000000,Eviction (dirty),36fe94bc0,11,3532602762842
0,0012cf438,Read Request,0229a6c28,0,3532602762900
0,000000000,Eviction (writable),04687ec00,11,3532602762849
0,0012cf448,Read Request,04ac4db08,0,3532602762900
0,000000000,Eviction (clean),37ad69b00,11,3532602762853
0,0012cf468,Read Request,04ac4db58,0,3532602762900
0,000000000,Eviction (dirty),02204db40,11,3532602762861
0,0012f2674,Read Request,113bac740,0,3532602762900
0,000000000,Eviction (clean),37b618740,13,3532602762834
0,001063b18,Read Request,0080ed8e0,0,3532602762900
0,000000000,Eviction (clean),395c398c0,15,3532602762804
0,001063b40,Fetch Request,007c63b40,0,3532602762900
0,000000000,Eviction (clean),3e7f53b40,15,3532602762810
0,00104aea8,Fetch Request,007c4aea8,0,3532602762900
0,000000000,Eviction (clean),361432e80,15,3532602762818
0,001063b88,Fetch Request,007c63b88,0,3532602762900
0,000000000,Eviction (clean),007c4bb80,15,3532602762827
0,001063ba8,Read Request,03296c618,0,3532602762900
0,000000000,Eviction (writable),3be1e8600,15,3532602762835
0,001063bc0,Fetch Request,007c63bc0,0,3532602762900
0,000000000,Eviction (clean),3c0babbc0,15,3532602762841
0,0010636f0,Fetch Request,007c636f0,0,3532602762900
0,000000000,Eviction (clean),3c0b736c0,15,3532602762851
0,001063700,Fetch Request,007c63700,0,3532602762900
0,000000000,Eviction (clean),3c0b73700,15,3532602762855
0,001063740,Fetch Request,007c63740,0,3532602762900
0,000000000,Eviction (clean),3c0b73740,15,3532602762869
0,001008aac,Read Request,009063b20,0,3532602762900
0,000000000,Eviction (clean),3e047bb00,15,3532602762891
0,001063748,Write Request,02d7c4d14,0,3532602762900
0,000000000,Eviction (dirty),3c55bcd00,15,3532602762898
0,00106374c,Read Request,0080bfca4,0,3532602762900
0,000000000,Eviction (clean),008d73c80,15,3532602762899
0,ffffffff78a71e40,Read Request,357315bc0,0,3532602762916
0,000000000,Eviction (writable),357385bc0,0,3532602762916
0,ffffffff78a3dae4,Fetch Request,3c0a3dae4,0,3532602763000
0,000000000,Eviction (clean),3c0a31ac0,4,3532602762906
0,ffffffff78a3d640,Fetch Request,3c0a3d640,0,3532602763000
0,000000000,Eviction (clean),007ed1640,4,3532602762919
0,ffffffff78a3da00,Fetch Request,3c0a3da00,0,3532602763000
0,000000000,Eviction (clean),007c05a00,4,3532602762923
0,ffffffff78a3da48,Fetch Request,3c0a3da48,0,3532602763000
0,000000000,Eviction (clean),007c05a40,4,3532602762929
0,ffffffff78b6aa40,Fetch Request,3c0b6aa40,0,3532602763000
0,000000000,Eviction (clean),007f1ea40,4,3532602762968
0,ffffffff78b20f00,Fetch Request,3c0b20f00,0,3532602763000
0,000000000,Eviction (clean),3c0958f00,4,3532602762972
0,ffffffff78b20f40,Fetch Request,3c0b20f40,0,3532602763000
0,000000000,Eviction (clean),3c08e4f40,4,3532602762988
0,ffffffff78926da0,Fetch Request,3c0926da0,0,3532602763000
0,000000000,Eviction (clean),007c5ad80,4,3532602762998
0,ffffffff78a71e40,Read Request,355ae6218,0,3532602763000
0,000000000,Eviction (dirty),3a1262200,5,3532602762900
0,ffffffff789d49fc,Write Request,3c6cece60,0,3532602763000
0,000000000,Eviction (writable),37af38e40,5,3532602762912
0,ffffffff789d4a50,Read Request,3bd233060,0,3532602763000
0,000000000,Eviction (dirty),3a1263040,5,3532602762933
0,ffffffff789c0488,Read Request,39e1d0640,0,3532602763000
0,000000000,Eviction (writable),391768640,10,3532602762950
0,ffffffff789c0490,Read Request,39e1d0680,0,3532602763000
0,000000000,Eviction (writable),04a070680,10,3532602762952
0,0012c98cc,Fetch Request,007ec98cc,0,3532602763000
0,000000000,Eviction (clean),3c12398c0,11,3532602762905
0,001008aac,Read Request,0091681c0,0,3532602763000
0,000000000,Eviction (writable),0075c01c0,11,3532602762934
0,00104b0f0,Read Request,0491a15a0,0,3532602763000
0,000000000,Eviction (dirty),3a69f9580,11,3532602762941
0,0012c9900,Fetch Request,007ec9900,0,3532602763000
0,000000000,Eviction (clean),3c1949900,11,3532602762958
0,0012c9900,Read Request,04a19c4b0,0,3532602763000
0,000000000,Eviction (writable),3562ac480,11,3532602762985
0,0012c990c,Read Request,04a19c500,0,3532602763000
0,000000000,Eviction (dirty),3c5528500,11,3532602762988
0,0012c8878,Fetch Request,007ec8878,0,3532602763000
0,000000000,Eviction (clean),007d74840,11,3532602762993
0,0012c8880,Fetch Request,007ec8880,0,3532602763000
0,000000000,Eviction (clean),007d74880,11,3532602762995
0,ffffffff789d4a9c,Read Request,39e38aa00,0,3532602763000
0,000000000,Eviction (writable),37df42a00,12,3532602762907
0,0012f2674,Read Request,113bac780,0,3532602763000
0,000000000,Eviction (clean),007588780,13,3532602762962
0,001063780,Fetch Request,007c63780,0,3532602763000
0,000000000,Eviction (clean),3c0b73780,15,3532602762910
0,0010637c8,Read Request,027c6e000,0,3532602763000
0,000000000,Eviction (dirty),3c5496000,15,3532602762920
0,0010159a8,Fetch Request,007c159a8,0,3532602763000
0,000000000,Eviction (clean),3c0919980,15,3532602762924
0,0010159ac,Read Request,0080b82d0,0,3532602763000
0,000000000,Eviction (dirty),3c55bc2c0,15,3532602762925
0,0010159c0,Fetch Request,007c159c0,0,3532602763000
0,000000000,Eviction (clean),3c0bad9c0,15,3532602762930
0,0010159c8,Read Request,00808fbe8,0,3532602763000
0,000000000,Eviction (dirty),04053bbc0,15,3532602762932
0,0010159cc,Read Request,027c6eb34,0,3532602763000
0,000000000,Eviction (clean),00758eb00,15,3532602762933
0,0010159f0,Read Request,008091598,0,3532602763000
0,000000000,Eviction (dirty),3c55bd580,15,3532602762942
0,001015a00,Fetch Request,007c15a00,0,3532602763000
0,000000000,Eviction (clean),3c0919a00,15,3532602762946
0,001020090,Fetch Request,007c20090,0,3532602763000
0,000000000,Eviction (clean),3c0b2c080,15,3532602762947
0,0010200a4,Read Request,0080c3570,0,3532602763000
0,000000000,Eviction (dirty),081b5b540,15,3532602762952
0,0010200c0,Fetch Request,007c200c0,0,3532602763000
0,000000000,Eviction (clean),3615040c0,15,3532602762959
1000,ffffffff789d4b20,Write Request,3e8e0edfd,0,3532602763100
1000,000000000,Eviction (dirty),3c510edc0,3,3532602763040
1000,ffffffff78926dc0,Fetch Request,3c0926dc0,0,3532602763100
1000,000000000,Eviction (clean),007c5adc0,4,3532602763006
1000,ffffffff78926e28,Fetch Request,3c0926e28,0,3532602763100
1000,000000000,Eviction (clean),007f1ae00,4,3532602763016
1000,ffffffff78926e40,Fetch Request,3c0926e40,0,3532602763100
1000,000000000,Eviction (clean),007c5ae40,4,3532602763091
1000,ffffffff78d3ff7c,Read Request,36e2559a0,0,3532602763100
1000,000000000,Eviction (dirty),0c9a91980,6,3532602763016
1000,0012c88a4,Read Request,00816eba8,0,3532602763100
1000,000000000,Eviction (clean),0080f6b80,11,3532602763026
1000,0012c88a4,Read Request,00816ed88,0,3532602763100
1000,000000000,Eviction (dirty),3c6e9ad80,11,3532602763037
1000,0012c88a4,Read Request,00816ec58,0,3532602763100
1000,0012c88a4,Read Request,00816ec20,0,3532602763100
1000,000000000,Eviction (dirty),3c6e9ac00,11,3532602763081
1000,0012c88a4,Read Request,00816ef58,0,3532602763100
1000,000000000,Eviction (writable),37afaef40,11,3532602763092
1000,0012f2674,Read Request,113bac7c0,0,3532602763100
1000,000000000,Eviction (dirty),39e2907c0,13,3532602763090
1000,00104bb60,Fetch Request,007c4bb60,0,3532602763100
1000,000000000,Eviction (clean),3c0babb40,15,3532602763012
1000,00104bb80,Fetch Request,007c4bb80,0,3532602763100
1000,000000000,Eviction (clean),007d3fb80,15,3532602763020
1000,001020100,Fetch Request,007c20100,0,3532602763100
1000,000000000,Eviction (clean),3c0bac100,15,3532602763024
1000,001020120,Read Request,00809807c,0,3532602763100
1000,000000000,Eviction (clean),0275c0040,15,3532602763032
1000,001020140,Fetch Request,007c20140,0,3532602763100
1000,000000000,Eviction (clean),3c0bac140,15,3532602763036
1000,001020148,Upgrade Request,00809807c,0,3532602763100
1000,00102018c,Fetch Request,007c2018c,0,3532602763100
1000,000000000,Eviction (clean),3c08e8180,15,3532602763049
1000,0012945a4,Fetch Request,007e945a4,0,3532602763100
1000,000000000,Eviction (clean),3c08f4580,15,3532602763052
1000,0012945c0,Fetch Request,007e945c0,0,3532602763100
1000,000000000,Eviction (clean),3c08f45c0,15,3532602763059
1000,00128da58,Fetch Request,007e8da58,0,3532602763100
1000,000000000,Eviction (clean),3c0919a40,15,3532602763063
1000,00128da80,Fetch Request,007e8da80,0,3532602763100
1000,000000000,Eviction (clean),3c0919a80,15,3532602763073
1000,00128da80,Read Request,0275c02d8,0,3532602763100
1000,000000000,Eviction (writable),3815cc2c0,15,3532602763073
1000,001298864,Fetch Request,007e98864,0,3532602763100
1000,000000000,Eviction (clean),3c080c840,15,3532602763077
1000,00128daa0,Read Request,0080dbbc8,0,3532602763100
1000,000000000,Eviction (dirty),081b5bbc0,15,3532602763092
1000,001299248,Fetch Request,007e99248,0,3532602763100
1000,000000000,Eviction (clean),3c0bad240,15,3532602763095
1000,001000c00,Fetch Request,007c00c00,0,3532602763200
1000,000000000,Eviction (clean),361440c00,1,3532602763102
1000,00100b828,Fetch Request,007c0b828,0,3532602763200
1000,000000000,Eviction (clean),007c63800,1,3532602763106
1000,00100b844,Fetch Request,007c0b844,0,3532602763200
1000,000000000,Eviction (clean),3c0b3b840,1,3532602763112
1000,00100b8a4,Fetch Request,007c0b8a4,0,3532602763200
1000,000000000,Eviction (clean),007c63880,1,3532602763117
1000,00100b8c0,Fetch Request,007c0b8c0,0,3532602763200
1000,000000000,Eviction (clean),3c0acb8c0,1,3532602763124
1000,00100b570,Fetch Request,007c0b570,0,3532602763200
1000,000000000,Eviction (clean),007c07540,1,3532602763127
1000,00100b580,Fetch Request,007c0b580,0,3532602763200
1000,000000000,Eviction (clean),0057d3580,1,3532602763131
1000,00100b588,Read Request,00808fbe8,0,3532602763200
1000,000000000,Eviction (writable),3559efbc0,1,3532602763133
1000,00100b58c,Read Request,00849e282,0,3532602763200
1000,000000000,Eviction (writable),37ed1e280,1,3532602763134
1000,00100b598,Read Request,027c6eb18,0,3532602763200
1000,000000000,Eviction (writable),37b576b00,1,3532602763137
1000,00100b5a0,Upgrade Request,027c6eb18,0,3532602763200
1000,00100b5c8,Fetch Request,007c0b5c8,0,3532602763200
1000,000000000,Eviction (clean),0057d35c0,1,3532602763140
1000,00100b5cc,Write Request,027c6ea98,0,3532602763200
1000,000000000,Eviction (writable),007592a80,1,3532602763141
1000,0010009a0,Fetch Request,007c009a0,0,3532602763200
1000,000000000,Eviction (clean),3614dc980,1,3532602763147
1000,00100abe4,Fetch Request,007c0abe4,0,3532602763200
1000,000000000,Eviction (clean),3c0b3abc0,1,3532602763149
1000,00100ac00,Fetch Request,007c0ac00,0,3532602763200
1000,000000000,Eviction (clean),3c0b3ac00,1,3532602763156
1000,00100ac30,Read Request,027c6e000,0,3532602763200
1000,000000000,Eviction (writable),355b52000,1,3532602763166
1000,00100ac3c,Read Request,00849e2c0,0,3532602763200
1000,000000000,Eviction (clean),0075922c0,1,3532602763169
1000,00100ac40,Fetch Request,007c0ac40,0,3532602763200
1000,000000000,Eviction (clean),3c0b3ac40,1,3532602763170
1000,00100ac64,Upgrade Request,00849e284,0,3532602763200
1000,00100ac8c,Fetch Request,007c0ac8c,0,3532602763200
1000,000000000,Eviction (clean),3c091ac80,1,3532602763185
1000,001007324,Read Request,00800e33c,0,3532602763200
1000,000000000,Eviction (writable),3541c2300,1,3532602763195
1000,ffffffff78d3fcfc,Read Request,3816b57c8,0,3532602763200
1000,000000000,Eviction (dirty),3c5e917c0,3,3532602763142
1000,ffffffff7de12100,Fetch Request,3c19fe100,0,3532602763200
1000,000000000,Eviction (clean),007cf6100,4,3532602763104
1000,ffffffff7de12144,Fetch Request,3c19fe144,0,3532602763200
1000,000000000,Eviction (clean),3c1156140,4,3532602763118
1000,ffffffff7de12188,Fetch Request,3c19fe188,0,3532602763200
1000,000000000,Eviction (clean),3c1156180,4,3532602763132
1000,ffffffff7de121c0,Fetch Request,3c19fe1c0,0,3532602763200
1000,000000000,Eviction (clean),007f221c0,4,3532602763146
1000,ffffffff7e121aa8,Fetch Request,3e9d11aa8,0,3532602763200
1000,000000000,Eviction (clean),007ed1a80,4,3532602763159
1000,ffffffff7e121ac0,Fetch Request,3e9d11ac0,0,3532602763200
1000,000000000,Eviction (clean),007ed1ac0,4,3532602763165
1000,001008c78,Read Request,0075f3e50,0,3532602763200
1000,000000000,Eviction (writable),2a9d67e40,4,3532602763198
1000,ffffffff78a71f10,Read Request,383f02c50,0,3532602763200
1000,000000000,Eviction (writable),383ed6c40,6,3532602763141
1000,ffffffff78a71f24,Write Request,3e9603702,0,3532602763200
1000,000000000,Eviction (clean),007547700,6,3532602763146
1000,ffffffff78a71e40,Read Request,39345a168,0,3532602763200
1000,000000000,Eviction (writable),383f02140,6,3532602763199
1000,0012c88a4,Read Request,00816e8e8,0,3532602763200
1000,000000000,Eviction (writable),3c20be8c0,11,3532602763136
1000,0012c88c0,Fetch Request,007ec88c0,0,3532602763200
1000,000000000,Eviction (clean),007e988c0,11,3532602763175
1000,0012c9920,Read Request,00815d080,0,3532602763200
1000,000000000,Eviction (clean),00758d080,11,3532602763177
1000,00104afe4,Write Request,008160e10,0,3532602763200
1000,000000000,Eviction (writable),3c5528e00,11,3532602763186
1000,0012c9940,Fetch Request,007ec9940,0,3532602763200
1000,000000000,Eviction (clean),007c01940,11,3532602763191
1000,00128db9c,Fetch Request,007e8db9c,0,3532602763200
1000,000000000,Eviction (clean),3c0ba9b80,15,3532602763100
1000,00104bb3c,Fetch Request,007c4bb3c,0,3532602763200
1000,000000000,Eviction (clean),3c0babb00,15,3532602763105
1000,001063c20,Fetch Request,007c63c20,0,3532602763200
1000,000000000,Eviction (clean),007c4bc00,15,3532602763125
1000,001064eec,Fetch Request,007c64eec,0,3532602763200
1000,000000000,Eviction (clean),3c0b74ec0,15,3532602763132
1000,001141700,Fetch Request,007d41700,0,3532602763200
1000,000000000,Eviction (clean),3c0b75700,15,3532602763135
1000,0010f5680,Fetch Request,007cf5680,0,3532602763200
1000,000000000,Eviction (clean),3c0919680,15,3532602763169
1000,0010f56c0,Fetch Request,007cf56c0,0,3532602763200
1000,000000000,Eviction (clean),3c09196c0,15,3532602763175
1000,001007340,Fetch Request,007c07340,0,3532602763300
